temp(C) wspeed smoist(mm) stemp(F)
17 5.5 365 59
7 5.2 364 71
5 5 435 59
14 5.3 325 55
14 5 413 54
5 5.1 423 66
10 5 440 74
9 5.4 416 73
13 5.2 375 68
16 5.2 447 60
13 5.3 128 60
6 7.1 140 76
5 7.1 161 72
10 7.4 180 74
15 7.4 141 77
17 7.1 388 54
19 5 338 72
16 5.4 366 51
11 5.3 414 54
15 5.5 394 47
12 5.1 445 54
8 5.4 358 49
11 5.2 411 55
15 5 409 67
16 5.4 410 59
17 5.2 430 74
17 5 439 54
5 5.5 355 74
5 5.2 406 73
13 5 388 60
19 5 377 58
19 5.3 413 75
17 5 433 77
8 5.1 351 70
10 5.1 385 67
15 5 438 55
5 5.3 420 75
15 5.2 426 56
9 5.1 437 58
17 5.5 443 62
11 5.2 389 69
19 5.3 382 60
16 5.5 393 74
15 5.5 403 76
10 5.4 358 61
16 5.2 412 77
16 5.3 367 58
6 5 337 77
8 5 411 56
10 5 449 74
14 7.4 442 76
15 7.5 414 74
18 5.2 428 56
19 5.4 362 70
16 5.1 412 62
18 5.4 446 55
10 5.1 411 70
19 5.2 356 63
12 5.1 440 73
6 5.1 419 60
16 5.4 383 76
3 5.5 400 68
3 5.1 341 63
3 5.5 339 69
9 5.4 434 77
15 5.4 448 72
19 5.4 421 57
2 5.3 370 56
3 5.3 446 64
2 5.4 381 56
2 5.3 375 69
12 5.1 434 59
14 5.1 400 77
17 5.4 391 56
19 5.5 395 76
14 5.2 342 62
8 5.3 381 56
5 5 325 59
18 5.3 333 57
16 5.2 369 69
11 5.2 414 69
8 5 338 57
18 5.1 364 77
12 5.4 425 68
15 5.1 374 70
11 5 410 60
9 5.4 325 56
8 5.2 393 70
5 5.1 440 74
6 5.1 345 73
17 5.2 403 63
8 5.4 351 72
10 5.3 361 65
17 5.5 398 73
17 5.3 350 62
10 5.5 394 73
15 5.3 440 58
16 5.2 349 65
20 5.1 348 62
17 5.3 356 67
16 5.5 378 64
20 5 325 72
7 5.3 402 56
8 5.5 384 75
10 5.2 339 68
13 5.2 368 57
16 5.1 183 76
19 7.3 122 66
13 7 130 73
10 7.1 178 64
20 7 179 58
10 7.4 334 69
5 5.4 325 68
15 5.2 350 48
7 5.2 386 52
11 5 405 53
9 5.3 436 53
13 5.4 410 54
18 5.1 393 51
5 5 447 74
11 5.1 367 63
13 5.1 427 60
19 5.1 334 68
13 5 338 70
19 5.2 402 68
20 5.2 448 59
18 5.1 341 73
15 5.1 422 56
10 5.2 369 69
5 5.2 364 65
6 5.2 404 55
18 5.5 374 77
12 5.5 407 55
12 5.3 433 70
5 5.3 334 77
15 5.4 412 74
15 5.1 359 72
11 5.3 444 72
6 5 443 71
15 5.5 357 65
5 5.2 378 59
20 5.2 350 56
7 5.2 353 72
15 5 349 61
10 5 350 54
10 5.3 432 71
12 7.5 424 76
19 7.2 435 69
19 5.1 418 61
11 5 403 76
9 5.4 445 58
16 5 390 66
17 5.5 446 72
7 5.4 414 64
14 5.2 328 71
18 5.4 441 71
7 5.2 426 64
2 5.3 393 61
3 5.4 418 57
2 5 442 64
12 5.1 439 60
9 5.3 423 55
8 5.2 408 54
3 5 328 57
2 5.1 366 54
3 5.5 361 71
3 5.5 391 63
14 5.2 428 69
5 5.4 405 66
14 5.5 376 59
5 5.3 432 67
16 5.4 400 61
17 5.5 384 72
20 5 348 56
14 5.3 437 65
10 5.3 419 63
19 5.5 394 73
11 5.2 381 58
11 5.1 421 76
12 5.5 444 64
6 5.4 398 56
5 5.5 396 55
20 5.4 405 63
19 5.3 364 74
12 5.2 436 74
14 5 422 54
8 5.4 327 68
12 5 380 62
20 5.2 373 65
17 5 437 72
15 5.1 423 70
9 5 434 54
13 5.5 382 72
5 5.4 404 54
14 5.2 386 74
19 5.1 410 77
11 5.4 442 72
17 5.3 431 76
17 5.3 426 67
9 5 431 61
18 5.3 391 61
6 5.1 351 57
19 5 173 62
16 7.5 165 56
15 7.2 168 67
20 7.3 191 76
6 7.3 196 65
10 7.2 356 62
9 5 351 72
8 5.2 351 45
12 5.2 333 49
10 5 379 52
8 5.3 385 55
12 5.5 428 48
17 5.2 435 53
19 5.3 346 64
12 5.4 349 65
17 5.1 333 66
16 5 396 54
14 5.5 413 77
19 5.2 363 54
20 5 330 63
14 5.5 444 60
15 5.2 371 56
7 5.4 405 67
19 5.4 332 75
18 5.4 349 64
12 5.2 423 65
12 5.4 437 62
12 5.2 380 55
9 5 412 71
16 5.5 395 64
5 5.2 333 62
15 5 374 56
12 5.1 373 68
12 5.5 328 68
19 5.2 429 55
19 5.5 334 68
20 5.3 393 65
18 5.2 414 57
5 5.1 430 77
14 5.4 382 59
5 7.1 444 65
10 7 396 65
18 5.1 441 64
19 5 381 74
8 5.4 411 60
9 5.3 401 67
15 5.3 441 76
9 5 448 62
11 5.5 360 54
6 5 415 54
17 5.3 361 54
3 5.5 432 72
3 5.2 339 65
2 5.5 360 60
14 5.4 424 69
19 5.1 366 77
13 5.1 379 72
2 5.2 336 63
2 5.2 404 73
2 5.1 427 73
3 5 387 68
15 5 331 77
20 5.4 389 54
19 5.3 368 68
19 5.2 426 71
11 5.2 434 69
6 5.5 395 57
20 5.5 409 54
6 5 419 77
6 5.1 367 70
9 5.1 442 66
17 5.3 447 67
20 5.1 337 56
14 5.5 354 67
10 5.2 442 70
17 5.1 387 62
13 5.2 447 60
17 5.2 394 61
10 5.2 403 69
20 5 440 75
6 5.4 372 64
15 5.1 386 66
9 5.2 425 74
17 5.3 440 56
17 5.5 379 69
18 5.2 433 72
20 5.5 348 57
11 5 412 65
6 5.3 399 66
5 5.3 376 59
18 5.4 437 59
12 5.4 385 62
7 5.2 430 64
12 5.5 377 76
16 5.5 430 65
17 5.4 449 67
19 5.1 153 58
16 7.2 186 60
10 7.4 143 71
8 7.3 165 61
18 7.5 186 77
17 7.1 416 65
5 5.5 405 67
20 5.5 375 50
15 5.3 435 50
20 5.3 371 48
8 5.3 383 54
11 5.1 382 52
14 5 415 46
20 5.2 421 55
16 5.4 355 62
8 5.2 424 61
6 5.4 350 74
15 5.5 364 60
13 5.2 334 54
20 5.3 406 54
6 5.2 440 71
7 5.1 387 68
12 5.1 393 73
19 5.1 380 59
18 5.4 374 56
11 5.5 382 70
5 5.2 386 58
20 5.1 409 63
8 5.4 446 58
5 5.4 434 71
6 5.1 403 76
7 5.1 377 72
13 5.2 389 69
17 5.5 437 58
5 5.4 376 70
19 5.4 325 63
7 5.1 394 73
11 5.3 334 69
6 5.4 330 57
8 5 430 71
6 7.5 352 63
18 7.3 449 64
14 5 349 62
9 5.3 381 75
8 5 402 63
13 5.4 403 60
11 5 353 77
12 5.2 416 68
6 5.3 447 66
18 5.5 380 66
14 5.4 423 65
2 5.5 399 66
3 5.2 329 69
2 5.5 349 61
11 5.4 384 64
10 5 387 73
17 5.3 448 55
2 5.3 413 60
3 5.5 396 55
2 5.3 402 56
3 5.5 401 69
20 5 419 72
13 5 397 60
9 5 445 68
19 5.5 420 56
19 5.2 403 77
19 5.5 441 76
9 5.5 376 72
18 5.1 420 74
19 5.4 351 58
14 5 326 73
14 5.4 417 56
13 5.5 416 70
11 5.1 369 61
10 5.2 372 57
16 5 328 71
10 5.1 443 60
13 5.5 410 59
6 5.5 389 64
20 5.4 377 68
7 5 419 74
17 5.4 331 55
8 5.2 368 68
14 5.5 389 66
7 5.3 379 66
13 5.2 383 68
18 5.4 345 57
14 5.5 432 77
16 5 428 62
12 5.2 374 60
7 5.3 325 71
14 5.4 384 72
12 5 384 67
11 5 399 55
11 5.1 356 67
9 5.3 376 73
8 5 185 57
20 7.4 172 61
20 7.1 170 68
16 7 162 56
18 7.2 124 54
10 7.2 328 69
19 5.1 339 57
11 5 448 47
10 5.4 364 46
18 5.3 349 50
9 5 351 48
16 5.1 431 50
19 5.1 342 50
16 5.1 426 74
18 5.3 420 69
12 5.2 391 76
20 5.4 393 69
6 5.5 369 68
13 5.3 386 57
20 5.1 381 69
8 5.2 388 70
5 5.5 385 59
8 5.3 326 62
13 5.1 337 56
15 5.2 405 61
18 5.2 335 71
16 5.5 390 72
9 5.4 343 68
7 5.4 350 54
7 5.5 332 60
20 5.2 329 75
6 5.3 387 63
10 5 422 54
14 5.1 380 55
18 5.5 348 77
7 5.1 414 54
19 5.5 340 65
14 5 325 60
17 5.1 401 58
7 5.1 359 72
13 7.2 363 54
11 7.5 354 77
9 5.4 448 54
5 5.3 397 59
10 5.5 401 59
20 5.1 398 54
16 5.5 374 66
16 5 418 56
17 5 360 75
13 5.5 434 57
18 5.5 328 74
2 5.5 344 64
3 5.1 358 77
3 5.4 445 68
5 5 392 66
6 5.4 410 60
16 5.1 373 64
3 5.4 425 62
3 5.3 341 66
3 5.2 339 77
3 5.1 330 73
13 5 447 70
5 5.4 376 55
14 5 331 72
8 5.1 335 73
9 5.5 341 67
13 5.1 375 54
8 5.5 416 72
18 5.3 422 64
7 5.3 435 73
5 5.5 431 62
8 5 390 54
10 5.4 370 56
9 5.3 370 69
13 5 357 71
15 5.1 385 67
11 5.1 431 64
6 5.1 356 58
14 5.5 430 61
20 5.3 344 67
16 5.3 416 65
5 5.3 403 72
20 5.2 377 62
5 5.5 365 75
13 5.5 420 57
9 5.5 411 64
18 5.5 379 60
6 5 390 67
15 5.3 398 72
19 5.1 390 63
20 5.5 445 54
14 5.1 431 77
17 5.3 349 59
18 5.2 402 67
15 5.1 386 61
20 5.2 356 62
19 5.3 182 64
12 7.2 167 68
11 7.1 184 64
8 7.3 166 60
6 7.4 161 56
14 7.1 436 65
15 5.2 406 64
5 5.1 376 51
14 5 327 52
17 5.2 382 48
8 5 399 53
15 5.3 432 55
8 5.1 350 46
5 5.2 422 69
18 5.1 412 56
9 5.1 403 57
17 5.1 359 61
9 5.2 336 77
20 5.3 358 55
7 5.3 438 57
6 5 369 58
20 5 380 65
11 5 337 77
9 5.4 423 57
11 5.2 332 75
8 5.4 377 68
15 5.4 393 62
20 5 408 55
13 5 379 64
18 5 366 57
6 5.5 427 71
16 5.3 430 64
9 5.4 449 60
13 5.4 341 77
5 5.2 448 59
8 5.2 343 74
13 5.3 433 63
16 5.3 440 65
8 5.5 331 62
8 5.3 351 60
15 7.1 354 56
12 7.4 428 63
19 5.1 382 63
18 5.1 364 59
5 5.5 346 55
16 5.5 430 64
16 5.3 329 56
18 5.1 428 72
14 5.4 389 62
16 5.3 399 73
6 5 348 60
2 5.1 332 56
3 5 406 64
2 5.1 359 76
11 5.4 428 67
20 5.1 437 71
19 5.4 357 57
3 5.4 337 60
3 5 370 65
3 5.2 332 63
3 5.4 347 61
13 5.5 428 73
12 5.5 449 64
7 5.5 328 75
19 5.2 447 63
17 5.3 370 62
15 5.5 394 69
12 5.4 368 68
6 5.1 363 77
9 5.3 398 67
14 5.5 403 62
6 5.2 429 55
20 5.5 349 75
16 5.5 354 61
19 5.3 449 56
17 5.5 355 62
7 5 442 57
7 5 405 59
15 5.1 384 69
19 5 439 69
17 5.2 443 56
15 5.4 384 65
8 5.2 389 70
9 5.4 326 61
7 5 425 75
13 5.3 347 65
13 5.4 328 74
18 5.5 430 56
15 5.1 439 57
19 5 389 74
12 5.1 339 74
18 5.4 399 62
19 5.3 336 72
14 5 408 72
15 5.2 398 73
12 5.3 413 59
15 5.4 156 55
5 7.1 120 67
11 7.4 168 61
20 7 155 56
7 7.1 182 61
20 7.4 439 59
6 5.2 334 69
9 5.5 367 48
8 5.5 407 54
20 5.3 340 54
13 5.3 421 51
7 5.3 415 52
9 5.2 402 55
15 5.3 390 71
19 5.4 403 61
19 5 397 54
14 5.2 340 58
19 5.4 424 71
10 5.1 397 60
18 5.2 450 65
11 5.2 419 61
15 5.3 450 60
9 5.2 374 72
10 5 422 71
16 5.3 449 59
17 5 439 72
11 5 422 54
8 5.2 422 72
14 5.3 354 62
18 5.5 387 60
14 5.5 392 68
20 5.2 435 54
8 5.1 435 55
11 5 444 58
5 5.1 394 68
6 5.3 367 67
20 5.5 371 58
8 5 412 54
5 5.1 383 68
17 5.3 377 69
13 7.5 423 54
17 7.1 340 68
19 5.5 447 65
12 5.2 439 62
10 5 384 68
11 5.2 418 69
11 5.3 368 73
6 5 350 61
15 5.4 425 77
11 5.1 377 59
6 5.4 432 56
2 5.3 450 59
2 5.2 407 68
2 5 409 56
6 5.3 364 70
8 5.1 360 55
20 5.2 352 58
3 5.5 379 59
2 5.2 361 63
2 5 425 61
2 5.4 329 63
14 5.1 328 74
13 5.3 344 66
14 5.3 359 76
10 5.5 357 62
11 5.5 415 59
6 5.3 363 62
19 5.3 387 67
6 5.5 386 72
15 5.3 429 67
7 5.5 390 67
6 5.5 336 69
14 5.1 355 62
12 5 351 60
5 5.4 403 76
6 5.4 384 73
7 5.1 428 68
13 5.2 334 73
9 5 351 63
10 5.2 414 64
9 5.3 384 61
17 5.3 385 61
6 5 345 72
8 5.3 432 67
12 5 412 55
16 5.1 336 70
9 5.3 378 64
16 5 358 66
15 5.1 384 76
8 5.5 338 65
19 5 398 69
6 5.5 412 54
9 5.2 436 75
8 5.1 378 59
18 5.1 447 60
15 5.1 341 74
15 5.5 195 62
20 7.5 138 59
9 7.1 144 57
8 7.2 168 59
5 7.3 125 60
13 7.5 436 60
11 5.1 342 58
17 5.1 355 54
10 5.2 426 50
10 5.1 328 48
9 5 429 54
13 5.1 357 46
8 5 440 51
14 5.3 343 66
12 5.5 354 65
8 5.1 449 60
5 5.1 439 68
20 5 446 65
9 5.1 411 73
11 5.4 339 61
8 5.2 434 55
17 5.2 415 71
17 5.3 413 60
10 5 381 57
8 5.3 338 59
18 5 352 70
18 5.5 406 62
6 5 373 64
14 5.4 332 74
20 5.5 364 75
15 5.1 333 55
15 5.2 336 57
8 5.2 349 69
6 5.2 406 55
6 5.2 398 61
6 5.4 407 76
11 5.1 428 63
7 5.2 365 71
6 5.5 373 68
15 5.2 415 57
18 7 339 76
9 7.3 392 65
15 5.2 337 73
19 5.5 401 71
9 5.4 325 61
9 5.3 381 73
14 5.5 449 60
13 5.1 447 66
20 5.4 352 69
7 5.5 360 61
16 5 398 54
3 5.4 359 57
2 5.3 396 71
2 5.3 413 72
19 5.5 399 62
12 5.2 371 66
12 5 325 72
2 5 338 56
3 5.1 370 72
2 5.3 439 68
2 5.5 440 66
9 5.3 384 66
14 5.5 394 62
5 5.4 445 63
13 5.2 326 61
18 5 412 72
5 5.2 379 75
13 5.5 358 55
20 5 367 73
9 5.5 384 68
9 5.3 357 61
20 5.5 367 64
11 5.2 380 75
11 5.3 435 71
13 5.4 394 62
18 5.3 402 64
20 5 357 75
10 5.4 366 75
14 5 400 58
8 5.3 330 64
11 5.1 433 75
6 5 395 66
16 5.5 367 57
12 5.1 427 55
14 5.4 345 65
14 5 336 66
16 5.2 421 74
20 5.1 388 72
9 5.2 447 58
16 5 433 75
5 5.3 447 63
5 5.1 416 59
14 5.1 418 67
10 5.2 430 76
16 5.4 335 75
17 5.5 360 66
8 5.5 164 58
18 7.3 147 67
7 7.4 129 61
5 7.3 152 70
8 7.1 162 61
14 7.1 361 65
8 5 426 69
7 5.5 328 47
7 5 402 50
20 5.3 399 47
8 5.5 352 48
18 5 344 46
17 5.1 388 54
19 5.5 391 74
12 5.4 389 68
15 5 331 75
16 5.5 351 66
13 5.1 333 60
7 5.4 376 65
20 5.1 421 54
17 5.1 334 61
13 5 326 77
8 5.4 374 68
9 5.4 386 56
14 5.4 396 60
7 5.5 420 66
15 5.2 410 75
13 5.2 392 67
12 5.2 367 65
8 5 365 76
6 5.2 331 73
6 5 420 54
7 5.3 340 71
9 5 366 69
16 5 330 66
15 5 357 57
18 5.5 329 68
12 5.4 329 60
16 5.2 357 75
6 5.3 401 69
11 7.4 367 62
15 7 398 69
7 5 387 55
15 5 421 72
5 5.4 336 69
11 5.2 350 65
19 5.4 383 59
5 5.4 395 68
7 5.4 344 74
9 5.3 372 68
16 5.2 438 60
2 5.1 402 64
3 5 393 59
3 5.1 330 77
13 5 335 77
12 5.5 396 66
11 5.1 378 57
3 5 358 58
2 5.2 326 65
2 5.4 382 76
3 5.2 426 60
17 5.4 373 65
15 5.2 432 64
20 5.1 376 73
18 5.4 418 74
14 5 416 71
18 5.5 412 64
10 5.2 429 61
16 5.1 345 60
7 5.4 363 63
7 5.1 422 71
19 5.1 349 56
15 5.3 396 67
5 5 331 66
11 5.4 341 73
8 5.2 378 66
16 5.1 330 66
17 5.5 365 63
8 5.4 368 56
7 5 439 66
12 5 377 60
10 5.5 409 76
11 5.2 438 61
13 5.2 435 69
19 5 412 68
13 5.2 418 55
20 5.2 328 70
12 5.2 411 63
17 5.2 407 74
16 5.5 449 74
5 5.2 414 66
18 5.2 402 76
15 5.3 405 57
6 5.3 390 57
18 5.5 343 70
14 5.1 396 59
8 5.5 136 59
19 7.3 151 57
20 7.1 197 59
15 7.1 172 70
11 7 176 62
14 7.4 342 60
15 5.3 450 74
9 5.5 329 51
15 5.2 330 55
10 5.2 433 47
9 5.3 410 49
19 5.2 391 55
9 5.2 388 54
15 5 346 77
12 5 349 56
20 5.2 378 58
14 5.5 337 67
12 5.2 334 60
6 5.2 442 65
12 5 363 59
7 5.5 335 66
10 5 344 59
7 5.4 397 76
16 5.2 348 57
7 5.4 327 70
10 5.1 439 63
6 5.1 441 57
8 5 334 76
13 5.5 329 55
16 5.5 444 73
17 5.2 345 64
16 5.5 427 61
9 5.4 426 62
9 5.3 444 70
16 5.5 430 71
8 5.4 392 62
15 5.5 398 57
6 5.4 357 58
5 5.5 446 72
8 5.4 383 66
7 7.3 332 59
13 7.5 417 73
16 5.4 382 65
16 5.3 410 55
20 5 331 62
9 5 400 58
7 5.3 432 55
18 5 347 61
15 5.3 437 73
16 5.1 404 66
7 5.1 441 55
2 5.2 355 54
2 5.5 340 63
2 5.1 359 76
5 5.2 439 69
17 5.2 420 66
10 5.2 385 68
3 5 383 75
2 5.5 327 63
3 5 371 72
2 5.5 334 60
9 5 427 63
11 5.2 365 71
9 5.4 354 68
12 5 433 60
18 5 371 66
7 5.4 414 72
19 5.4 386 59
20 5.1 348 75
12 5.2 364 56
12 5 447 73
8 5.1 450 74
6 5.2 398 59
13 5.1 392 76
18 5.1 429 69
16 5 343 60
6 5.5 352 61
9 5.4 370 66
19 5.4 376 58
6 5.1 357 57
10 5.1 425 57
10 5.4 445 58
17 5.1 372 66
20 5.5 422 65
9 5.2 337 72
7 5.4 423 76
5 5.2 360 57
18 5 341 75
9 5.4 370 74
11 5.2 373 67
11 5.1 373 57
18 5.2 425 71
17 5.2 415 60
15 5.4 440 71
6 5.1 401 63
15 5.1 422 56
14 5.1 139 60
13 7.3 196 57
19 7.1 135 63
6 7.2 154 68
17 7 120 68
13 7.5 367 57
16 5.1 440 60
13 5.1 360 49
9 5.4 382 51
15 5.1 418 53
20 5.3 382 53
18 5.4 437 47
15 5.3 338 52
19 5.3 337 75
14 5 383 54
9 5.5 430 59
20 5 400 72
19 5.2 358 59
6 5.2 441 73
12 5 428 56
17 5.5 400 67
19 5.3 374 72
12 5.4 417 65
17 5.5 404 70
9 5.1 359 66
6 5.1 393 64
16 5.4 335 62
7 5.2 332 58
15 5.1 408 76
6 5.4 327 74
11 5.2 429 60
13 5.3 427 57
7 5.3 389 55
15 5.2 337 75
17 5.1 382 72
18 5.4 326 60
9 5.1 355 75
19 5 362 77
12 5.2 351 73
14 5.1 362 76
17 7 402 54
5 7.5 350 58
9 5 433 57
5 5.2 394 77
12 5 400 70
13 5.4 436 73
7 5.3 345 70
18 5.4 443 75
11 5.3 446 76
18 5.2 381 72
16 5.3 325 59
2 5.3 368 61
2 5.3 427 76
3 5 426 65
8 5.2 415 68
13 5.1 409 75
6 5.4 374 70
2 5.2 342 59
3 5.4 367 68
3 5 345 57
2 5.3 433 59
7 5 379 58
9 5 421 54
12 5.5 351 57
17 5.1 340 55
18 5.1 406 73
5 5.3 328 60
14 5.4 426 62
15 5.3 345 56
16 5.1 346 58
13 5 352 61
19 5.5 412 70
17 5.3 420 65
17 5.3 439 58
7 5.3 339 69
8 5.3 349 68
11 5.1 421 76
7 5.1 436 73
17 5.5 438 55
18 5.3 429 75
6 5.1 340 75
11 5 365 63
11 5 427 67
12 5.1 412 76
12 5.1 360 64
7 5.4 337 77
13 5.3 404 61
15 5 410 69
14 5.4 394 66
11 5 325 69
11 5.1 339 59
18 5.3 424 57
7 5.1 396 60
13 5.3 352 62
8 5 399 66
20 5 393 64
18 5.1 164 63
9 7.2 143 70
13 7.3 128 57
9 7.3 149 55
17 7 191 56
18 7.3 358 65
20 5 413 73
20 5.1 441 54
13 5.2 441 47
20 5.4 422 48
5 5 361 45
6 5.5 390 52
19 5 377 49
15 5.1 425 69
17 5.4 350 71
15 5.4 333 57
17 5.3 400 70
13 5.2 341 59
7 5.4 424 62
17 5 381 69
7 5.3 358 71
13 5.3 376 60
17 5.4 373 54
11 5 426 63
18 5.5 325 56
7 5.1 403 59
15 5.4 388 75
16 5.2 346 75
10 5.5 447 77
10 5.3 359 77
17 5 332 55
10 5 412 55
20 5.1 349 66
17 5.2 417 76
9 5.2 352 56
7 5.5 422 61
15 5.2 358 66
7 5.2 341 63
7 5.5 352 70
15 5.5 343 68
8 7.1 397 73
19 7.1 347 76
11 5.5 365 76
14 5.1 392 63
18 5.1 419 68
13 5.4 403 59
8 5.1 382 57
11 5.1 325 75
12 5.2 326 74
11 5.1 385 77
18 5.3 380 62
3 5.4 372 60
2 5.5 445 64
2 5.5 387 66
17 5.4 344 66
15 5.5 354 61
17 5.1 341 56
3 5.2 337 54
2 5 403 60
3 5.4 395 60
3 5.4 367 68
18 5.1 424 67
12 5.3 337 67
17 5.5 448 54
18 5.1 448 57
18 5.4 342 54
15 5.4 391 72
8 5.2 333 73
17 5.1 423 60
6 5.2 343 72
12 5.2 338 56
11 5.1 385 77
14 5.3 386 65
5 5.1 362 71
16 5.1 429 76
15 5.1 338 72
10 5.3 379 68
19 5.1 381 68
12 5.1 375 55
18 5.1 337 76
6 5.5 387 63
5 5.2 391 71
12 5.5 352 75
11 5.1 337 71
8 5.4 332 57
10 5.1 349 68
14 5.3 343 63
17 5 437 70
5 5.5 406 74
11 5.3 332 77
15 5.1 426 56
5 5.2 432 69
20 5.1 373 56
8 5.3 405 58
18 5 399 74
6 5.5 349 60
19 5.4 122 64
5 7.1 200 70
17 7.2 139 54
19 7.1 141 70
13 7 128 61
9 7.1 359 61
17 5.3 351 61
7 5.5 396 47
14 5.1 416 53
11 5 360 55
14 5.1 381 49
5 5.1 325 52
12 5.3 376 47
12 5.2 398 65
5 5.4 362 63
10 5 432 77
10 5.2 395 61
18 5 342 75
7 5.5 343 77
15 5 407 57
11 5.4 410 57
18 5.3 372 74
10 5.3 437 61
5 5 431 66
16 5.4 448 63
5 5 399 60
10 5 436 75
5 5.4 363 67
8 5.4 342 73
15 5.1 401 70
10 5.1 438 68
12 5.5 432 56
11 5 327 69
15 5.1 431 59
6 5.5 391 56
11 5.4 397 56
5 5.5 370 62
14 5 443 58
6 5.3 411 62
17 5.1 374 70
6 7 410 65
13 7.4 359 75
19 5.2 384 71
12 5.5 434 75
5 5 347 64
6 5.5 369 63
7 5.3 372 74
19 5.3 436 70
6 5 420 66
5 5.5 330 71
8 5.5 438 75
2 5 366 72
3 5.1 449 59
3 5.5 412 72
15 5.4 369 65
12 5 402 71
20 5.2 398 66
3 5.2 346 63
3 5.5 405 63
3 5 363 73
2 5.1 337 58
15 5.3 389 61
17 5.2 349 64
15 5.1 326 54
16 5.1 409 63
7 5.1 331 61
16 5.2 411 55
18 5.3 365 66
7 5.2 377 72
8 5.1 361 66
14 5.2 392 75
6 5.5 448 73
11 5.5 390 75
18 5.1 345 60
12 5 440 55
17 5.2 339 77
11 5.3 353 76
6 5.4 431 73
19 5 363 68
14 5.4 384 69
11 5.4 386 69
16 5.1 393 55
20 5.3 358 69
14 5.2 442 69
12 5 430 65
6 5.3 397 76
19 5.2 364 73
15 5.2 432 70
19 5.4 444 63
20 5.4 328 75
16 5.2 441 55
19 5.3 384 65
13 5.4 398 57
11 5.5 406 76
16 5.1 341 69
20 5.3 422 69
13 5.2 164 75
9 7.2 133 60
18 7.2 134 64
10 7.5 166 57
17 7.4 168 65
18 7.1 388 70
13 5.4 361 56
8 5.5 338 51
17 5 406 51
10 5.1 364 47
17 5.2 425 50
7 5 418 55
19 5.4 384 49
15 5.2 343 67
13 5.1 327 74
15 5.3 378 60
6 5.1 338 63
5 5.2 438 76
12 5.1 414 70
9 5.5 445 77
15 5.4 406 59
20 5.2 398 69
6 5.5 450 56
18 5.2 379 71
9 5.4 412 69
16 5.2 374 54
14 5 370 54
10 5 369 69
8 5.5 366 71
19 5 401 74
14 5.1 409 55
15 5.4 327 58
14 5.1 433 59
6 5.2 365 64
15 5.1 339 76
17 5.4 373 64
7 5.4 363 76
8 5.1 405 77
18 5.5 369 62
20 5.4 354 70
8 7 344 60
18 7.4 390 54
12 5.4 339 64
13 5.4 328 72
10 5.2 385 59
12 5.5 377 58
14 5.4 428 59
10 5 441 63
20 5.1 444 56
5 5.5 391 57
20 5.5 424 55
3 5 401 75
2 5 381 68
3 5.4 447 54
14 5.4 370 61
5 5.2 352 70
12 5.5 400 69
3 5.2 385 76
3 5.3 382 67
3 5.5 410 59
2 5.2 397 59
8 5.3 393 69
8 5.1 339 69
8 5 350 70
19 5.4 407 67
9 5.5 365 75
10 5.3 431 67
13 5 371 66
10 5 400 75
7 5.2 369 75
7 5.5 334 74
14 5.4 392 76
14 5.4 326 62
7 5.2 332 56
9 5.3 396 71
13 5 337 66
5 5 441 54
20 5.2 331 67
10 5.4 416 59
6 5.2 327 63
19 5.1 351 75
6 5.4 355 76
7 5.2 365 60
6 5 398 72
9 5.3 347 56
14 5.4 375 56
9 5.1 412 73
8 5.4 449 73
12 5.5 419 74
17 5.1 384 77
8 5.2 325 77
13 5.4 397 77
9 5.1 359 62
8 5.2 397 63
6 5.2 409 65
20 5.4 343 57
9 5.2 124 57
20 7.3 121 66
8 7.5 151 56
18 7.1 185 60
6 7.1 180 62
10 7.4 412 67
18 5.2 420 71
17 5.2 343 52
18 5.3 431 51
16 5.3 337 54
10 5.3 386 45
20 5.3 394 45
15 5.2 382 48
8 5.4 345 60
13 5 332 60
8 5.4 396 58
5 5.2 432 75
19 5.5 342 76
10 5.1 352 76
16 5 326 66
17 5 435 54
15 5.2 411 76
12 5 413 76
8 5 332 61
7 5.2 327 65
9 5 331 62
7 5.4 332 58
9 5.5 443 77
20 5.4 329 57
11 5.4 435 71
9 5.4 401 57
11 5 356 57
14 5.5 337 60
20 5.5 358 56
17 5.2 356 56
17 5.3 384 54
12 5 421 66
13 5 417 75
18 5.3 385 58
8 5.4 346 70
11 7.2 337 56
10 7.3 377 75
14 5.3 401 59
17 5 433 58
13 5.4 436 68
18 5.4 403 64
5 5.4 439 62
8 5.2 416 76
5 5.4 428 72
15 5.4 396 69
19 5.2 372 62
2 5.2 426 63
3 5.1 364 77
2 5.5 395 66
9 5.5 349 71
20 5.4 439 62
17 5.2 339 66
3 5.1 403 69
2 5.1 336 66
2 5 354 55
2 5 386 74
13 5.1 358 72
14 5.4 411 63
16 5.3 359 57
7 5.4 371 59
18 5.4 353 66
5 5 407 67
13 5.3 330 66
10 5.3 379 57
5 5 402 57
16 5.2 337 61
19 5.5 432 58
13 5.4 400 61
12 5.3 380 63
15 5.4 325 62
17 5.1 371 67
17 5.3 439 57
16 5.4 360 61
8 5.5 403 62
5 5 391 54
16 5.3 400 74
7 5.4 341 68
13 5.2 403 56
14 5.1 426 71
6 5.2 388 66
12 5.1 343 77
9 5.4 387 54
5 5.5 428 67
11 5.2 410 62
10 5.3 369 71
14 5.5 449 74
8 5.4 446 76
17 5.3 366 70
